STT,Program,Threads,Time (seconds)
21,MPI,4,1.573499
21,MPI,6,1.099057
21,MPI,8,0.861918
21,MPI,12,0.566219
22,Sequential,1,3.970774
22,OpenMP,2,3.341662
22,OpenMP,4,2.130109
22,OpenMP,6,1.632637
22,OpenMP,8,1.689704
22,OpenMP,12,2.117231
22,Pthreads,2,5.746073
22,Pthreads,4,5.968413
22,Pthreads,6,5.897185
22,Pthreads,8,6.200179
22,Pthreads,12,5.196015
22,MPI,2,2.618244
22,MPI,4,1.585677
22,MPI,6,1.102935
22,MPI,8,0.838857
22,MPI,12,0.590734
23,Sequential,1,3.970809
23,OpenMP,2,3.315713
23,OpenMP,4,2.137655
23,OpenMP,6,1.676342
23,OpenMP,8,1.683725
23,OpenMP,12,1.879509
23,Pthreads,2,5.359843
23,Pthreads,4,5.303991
23,Pthreads,6,6.121606
23,Pthreads,8,6.321345
23,Pthreads,12,5.802249
23,MPI,2,2.592218
23,MPI,4,1.578835
23,MPI,6,1.108068
23,MPI,8,0.829498
23,MPI,12,0.587975
24,Sequential,1,3.917938
24,OpenMP,2,3.255856
24,OpenMP,4,2.263267
24,OpenMP,6,1.710834
24,OpenMP,8,1.686448
24,OpenMP,12,1.868558
24,Pthreads,2,5.276309
24,Pthreads,4,6.406866
24,Pthreads,6,5.019308
24,Pthreads,8,6.031750
24,Pthreads,12,5.467195
24,MPI,2,2.590944
24,MPI,4,1.585555
24,MPI,6,1.107777
24,MPI,8,0.878637
24,MPI,12,0.560692
25,Sequential,1,3.947801
25,OpenMP,2,3.335215
25,OpenMP,4,2.330453
25,OpenMP,6,1.820587
25,OpenMP,8,1.691162
25,OpenMP,12,1.822334
25,Pthreads,2,5.052326
25,Pthreads,4,5.002870
25,Pthreads,6,6.256577
25,Pthreads,8,5.087863
25,Pthreads,12,6.318995
25,MPI,2,2.623717
25,MPI,4,1.599292
25,MPI,6,1.098072
25,MPI,8,0.851378
25,MPI,12,0.588717
26,Sequential,1,3.998346
26,OpenMP,2,3.259380
26,OpenMP,4,2.174119
26,OpenMP,6,1.800585
26,OpenMP,8,1.738031
26,OpenMP,12,1.791549
26,Pthreads,2,5.717069
26,Pthreads,4,6.054139
26,Pthreads,6,6.566973
26,Pthreads,8,5.193081
26,Pthreads,12,5.982369
26,MPI,2,2.612809
26,MPI,4,1.566524
26,MPI,6,1.109651
26,MPI,8,0.851887
26,MPI,12,0.564642
27,Sequential,1,4.456269
27,OpenMP,2,3.317915
27,OpenMP,4,2.257514
27,OpenMP,6,1.677571
27,OpenMP,8,1.633727
27,OpenMP,12,1.925077
27,Pthreads,2,4.973302
27,Pthreads,4,5.793463
27,Pthreads,6,5.737794
27,Pthreads,8,6.467743
27,Pthreads,12,5.798423
27,MPI,2,2.617743
27,MPI,4,1.577212
27,MPI,6,1.110435
27,MPI,8,0.863630
27,MPI,12,0.600354
28,Sequential,1,3.929847
28,OpenMP,2,3.286204
28,OpenMP,4,2.180137
28,OpenMP,6,1.628517
28,OpenMP,8,1.682975
28,OpenMP,12,2.158344
28,Pthreads,2,5.938086
28,Pthreads,4,5.469915
28,Pthreads,6,5.832764
28,Pthreads,8,6.522261
28,Pthreads,12,5.741302
28,MPI,2,2.569527
28,MPI,4,1.581021
28,MPI,6,1.093979
28,MPI,8,0.853091
28,MPI,12,0.576629
29,Sequential,1,3.936511
29,OpenMP,2,3.264038
29,OpenMP,4,2.130998
29,OpenMP,6,1.776121
29,OpenMP,8,1.628061
29,OpenMP,12,1.906326
29,Pthreads,2,5.498450
29,Pthreads,4,5.631478
29,Pthreads,6,5.959433
29,Pthreads,8,5.995299
29,Pthreads,12,5.921344
29,MPI,2,2.764078
29,MPI,4,1.577195
29,MPI,6,1.095595
29,MPI,8,0.872765
29,MPI,12,0.586049
30,Sequential,1,3.913070
30,OpenMP,2,3.290490
30,OpenMP,4,2.240847
30,OpenMP,6,1.715047
30,OpenMP,8,1.703913
30,OpenMP,12,1.789974
30,Pthreads,2,6.427872
30,Pthreads,4,6.089844
30,Pthreads,6,6.134990
30,Pthreads,8,5.403531
30,Pthreads,12,6.172589
30,MPI,2,2.594555
30,MPI,4,1.617684
30,MPI,6,1.103025
30,MPI,8,0.861106
30,MPI,12,0.583783
31,Sequential,1,4.006628
31,OpenMP,2,3.317368
31,OpenMP,4,2.266132
31,OpenMP,6,1.678426
31,OpenMP,8,1.767308
31,OpenMP,12,1.861030
31,Pthreads,2,6.594830
31,Pthreads,4,6.030849
31,Pthreads,6,5.706680
31,Pthreads,8,5.600108
31,Pthreads,12,6.062858
31,MPI,2,2.589669
31,MPI,4,1.584728
31,MPI,6,1.100467
31,MPI,8,0.864826
31,MPI,12,0.571325
32,Sequential,1,3.957130
32,OpenMP,2,3.261344
32,OpenMP,4,2.257296
32,OpenMP,6,1.790717
32,OpenMP,8,1.704589
32,OpenMP,12,2.011204
32,Pthreads,2,4.857538
32,Pthreads,4,6.246160
32,Pthreads,6,6.100693
32,Pthreads,8,6.174042
32,Pthreads,12,6.026498
32,MPI,2,2.599544
32,MPI,4,1.594094
32,MPI,6,1.098655
32,MPI,8,0.883963
32,MPI,12,0.569781
33,Sequential,1,3.936187
33,OpenMP,2,3.307557
33,OpenMP,4,2.296055
33,OpenMP,6,1.785872
33,OpenMP,8,1.559681
33,OpenMP,12,1.956241
33,Pthreads,2,5.582796
33,Pthreads,4,6.484822
33,Pthreads,6,5.819503
33,Pthreads,8,5.102059
33,Pthreads,12,6.009240
33,MPI,2,2.634450
33,MPI,4,1.588630
33,MPI,6,1.100582
33,MPI,8,0.860971
33,MPI,12,0.591989
34,Sequential,1,3.966817
34,OpenMP,2,3.298221
34,OpenMP,4,2.294211
34,OpenMP,6,1.851756
34,OpenMP,8,1.962657
34,OpenMP,12,2.200978
34,Pthreads,2,5.617731
34,Pthreads,4,5.073665
34,Pthreads,6,5.562604
34,Pthreads,8,4.995331
34,Pthreads,12,5.521803
34,MPI,2,2.562659
34,MPI,4,1.585565
34,MPI,6,1.103633
34,MPI,8,0.865185
34,MPI,12,0.572452
35,Sequential,1,3.927170
35,OpenMP,2,3.286090
35,OpenMP,4,2.137074
35,OpenMP,6,1.727447
35,OpenMP,8,1.949615
35,OpenMP,12,1.714555
35,Pthreads,2,5.222538
35,Pthreads,4,4.963975
35,Pthreads,6,6.070232
35,Pthreads,8,6.153407
35,Pthreads,12,5.768883
35,MPI,2,2.591421
35,MPI,4,1.598918
35,MPI,6,1.096392
35,MPI,8,0.894428
35,MPI,12,0.608714
36,Sequential,1,4.013562
36,OpenMP,2,3.326429
36,OpenMP,4,2.294202
36,OpenMP,6,1.851341
36,OpenMP,8,1.709104
36,OpenMP,12,1.961805
36,Pthreads,2,5.727501
36,Pthreads,4,5.603027
36,Pthreads,6,4.915957
36,Pthreads,8,5.985180
36,Pthreads,12,6.066553
36,MPI,2,2.631284
36,MPI,4,1.562478
36,MPI,6,1.101640
36,MPI,8,0.870418
36,MPI,12,0.581517
37,Sequential,1,4.001322
37,OpenMP,2,3.330460
37,OpenMP,4,2.193026
37,OpenMP,6,1.690471
37,OpenMP,8,1.655364
37,OpenMP,12,1.685129
37,Pthreads,2,6.596198
37,Pthreads,4,5.981275
37,Pthreads,6,6.569924
37,Pthreads,8,5.625313
37,Pthreads,12,5.574981
37,MPI,2,2.587259
37,MPI,4,1.589807
37,MPI,6,1.104382
37,MPI,8,0.879383
37,MPI,12,0.599223
38,Sequential,1,3.971057
38,OpenMP,2,3.303110
38,OpenMP,4,2.154223
38,OpenMP,6,1.842905
38,OpenMP,8,1.689560
38,OpenMP,12,1.869585
38,Pthreads,2,5.957575
38,Pthreads,4,5.722914
38,Pthreads,6,6.094587
38,Pthreads,8,6.128455
38,Pthreads,12,5.931970
38,MPI,2,2.590100
38,MPI,4,1.557909
38,MPI,6,1.092293
38,MPI,8,0.852541
38,MPI,12,0.592701
39,Sequential,1,3.916215
39,OpenMP,2,3.341830
39,OpenMP,4,2.200705
39,OpenMP,6,1.735842
39,OpenMP,8,1.728458
39,OpenMP,12,1.725570
39,Pthreads,2,5.745950
39,Pthreads,4,6.151302
39,Pthreads,6,6.133686
39,Pthreads,8,6.332909
39,Pthreads,12,6.336505
39,MPI,2,2.583549
39,MPI,4,1.579819
39,MPI,6,1.083620
39,MPI,8,0.852694
39,MPI,12,0.573179
40,Sequential,1,4.149316
40,OpenMP,2,3.342989
40,OpenMP,4,2.258095
40,OpenMP,6,1.712172
40,OpenMP,8,1.668739
40,OpenMP,12,1.684775
40,Pthreads,2,5.661479
40,Pthreads,4,5.423559
40,Pthreads,6,5.289384
40,Pthreads,8,5.349893
40,Pthreads,12,6.447365
40,MPI,2,2.681273
40,MPI,4,1.568456
40,MPI,6,1.107349
40,MPI,8,0.871133
40,MPI,12,0.592245
41,Sequential,1,3.914251
41,OpenMP,2,3.277812
41,OpenMP,4,2.293330
41,OpenMP,6,1.849096
41,OpenMP,8,1.649128
41,OpenMP,12,1.627099
41,Pthreads,2,5.945440
41,Pthreads,4,6.257543
41,Pthreads,6,6.132898
41,Pthreads,8,5.950582
41,Pthreads,12,6.117822
41,MPI,2,2.577575
41,MPI,4,1.597579
41,MPI,6,1.093280
41,MPI,8,0.863088
41,MPI,12,0.568516
42,Sequential,1,3.949227
42,OpenMP,2,3.342471
42,OpenMP,4,2.274692
42,OpenMP,6,1.745627
42,OpenMP,8,2.017369
42,OpenMP,12,2.097256
42,Pthreads,2,5.959649
42,Pthreads,4,5.233833
42,Pthreads,6,5.605525
42,Pthreads,8,5.680634
42,Pthreads,12,6.267562
42,MPI,2,2.594191
42,MPI,4,1.602810
42,MPI,6,1.101274
42,MPI,8,0.857238
42,MPI,12,0.594648
43,Sequential,1,3.932920
43,OpenMP,2,3.350055
43,OpenMP,4,2.259968
43,OpenMP,6,1.846268
43,OpenMP,8,1.688765
43,OpenMP,12,2.076169
43,Pthreads,2,6.031569
43,Pthreads,4,5.953982
43,Pthreads,6,5.732813
43,Pthreads,8,5.393367
43,Pthreads,12,5.072369
43,MPI,2,2.623155
43,MPI,4,1.669050
43,MPI,6,1.092299
43,MPI,8,0.894333
43,MPI,12,0.578328
44,Sequential,1,4.112472
44,OpenMP,2,3.310921
44,OpenMP,4,2.306720
44,OpenMP,6,1.747181
44,OpenMP,8,1.811241
44,OpenMP,12,2.077640
44,Pthreads,2,5.766854
44,Pthreads,4,5.916581
44,Pthreads,6,6.049190
44,Pthreads,8,5.653065
44,Pthreads,12,5.641756
44,MPI,2,2.581644
44,MPI,4,1.591038
44,MPI,6,1.120440
44,MPI,8,0.863281
44,MPI,12,0.600965
45,Sequential,1,4.001025
45,OpenMP,2,3.261179
45,OpenMP,4,2.316085
45,OpenMP,6,1.783800
45,OpenMP,8,1.724402
45,OpenMP,12,2.033199
45,Pthreads,2,6.723357
45,Pthreads,4,6.143682
45,Pthreads,6,6.237126
45,Pthreads,8,5.266476
45,Pthreads,12,5.761930
45,MPI,2,2.601651
45,MPI,4,1.580060
45,MPI,6,1.094412
45,MPI,8,0.886023
45,MPI,12,0.583824
46,Sequential,1,3.953492
46,OpenMP,2,3.314604
46,OpenMP,4,2.299223
46,OpenMP,6,1.700461
46,OpenMP,8,1.841464
46,OpenMP,12,2.051225
46,Pthreads,2,6.599299
46,Pthreads,4,5.816823
46,Pthreads,6,6.226460
46,Pthreads,8,5.735676
46,Pthreads,12,5.428778
46,MPI,2,2.569528
46,MPI,4,1.579496
46,MPI,6,1.102544
46,MPI,8,0.858519
46,MPI,12,0.565696
47,Sequential,1,3.986974
47,OpenMP,2,3.319649
47,OpenMP,4,2.194817
47,OpenMP,6,1.689853
47,OpenMP,8,1.761385
47,OpenMP,12,1.648696
47,Pthreads,2,5.253040
47,Pthreads,4,5.126543
47,Pthreads,6,5.775788
47,Pthreads,8,6.330069
47,Pthreads,12,6.486962
47,MPI,2,2.596366
47,MPI,4,1.556522
47,MPI,6,1.100272
47,MPI,8,0.852510
47,MPI,12,0.597379
48,Sequential,1,3.953595
48,OpenMP,2,3.336258
48,OpenMP,4,2.229955
48,OpenMP,6,1.769092
48,OpenMP,8,1.717352
48,OpenMP,12,1.836215
48,Pthreads,2,5.764891
48,Pthreads,4,4.903199
48,Pthreads,6,5.437240
48,Pthreads,8,4.945795
48,Pthreads,12,5.838065
48,MPI,2,2.605987
48,MPI,4,1.557411
48,MPI,6,1.086607
48,MPI,8,0.869320
48,MPI,12,0.566625
49,Sequential,1,3.979661
49,OpenMP,2,3.274751
49,OpenMP,4,2.282787
49,OpenMP,6,1.758374
49,OpenMP,8,1.603056
49,OpenMP,12,1.962412
49,Pthreads,2,4.814040
49,Pthreads,4,5.727737
49,Pthreads,6,4.922474
49,Pthreads,8,5.569628
49,Pthreads,12,4.978279
49,MPI,2,2.569029
49,MPI,4,1.585017
49,MPI,6,1.111323
49,MPI,8,0.830086
49,MPI,12,0.577977
50,Sequential,1,3.960191
50,OpenMP,2,3.318950
50,OpenMP,4,2.221973
50,OpenMP,6,1.619379
50,OpenMP,8,1.538535
50,OpenMP,12,1.859381
50,Pthreads,2,4.766422
50,Pthreads,4,5.806760
50,Pthreads,6,5.905446
50,Pthreads,8,5.065591
50,Pthreads,12,5.302134
50,MPI,2,2.655327
50,MPI,4,1.566442
50,MPI,6,1.094220
50,MPI,8,0.867672
50,MPI,12,0.568353
51,Sequential,1,3.926975
51,OpenMP,2,3.288443
51,OpenMP,4,2.251578
51,OpenMP,6,1.744975
51,OpenMP,8,1.670693
51,OpenMP,12,1.860371
51,Pthreads,2,5.451332
51,Pthreads,4,6.271121
51,Pthreads,6,6.179574
51,Pthreads,8,6.267326
51,Pthreads,12,6.655753
51,MPI,2,2.570392
51,MPI,4,1.583696
51,MPI,6,1.092045
51,MPI,8,0.879091
51,MPI,12,0.579574
52,Sequential,1,3.935734
52,OpenMP,2,3.340715
52,OpenMP,4,2.180802
52,OpenMP,6,1.747940
52,OpenMP,8,1.647975
52,OpenMP,12,1.836276
52,Pthreads,2,5.558739
52,Pthreads,4,5.760061
52,Pthreads,6,5.912015
52,Pthreads,8,5.731904
52,Pthreads,12,5.602103
52,MPI,2,2.598131
52,MPI,4,1.666468
52,MPI,6,1.101590
52,MPI,8,0.844099
52,MPI,12,0.571765
53,Sequential,1,4.038986
53,OpenMP,2,3.291081
53,OpenMP,4,2.151367
53,OpenMP,6,1.718561
53,OpenMP,8,1.646417
53,OpenMP,12,1.938754
53,Pthreads,2,6.172511
53,Pthreads,4,5.219481
53,Pthreads,6,6.284102
53,Pthreads,8,5.545572
53,Pthreads,12,6.541277
53,MPI,2,2.590609
53,MPI,4,1.604590
53,MPI,6,1.091406
53,MPI,8,0.869272
53,MPI,12,0.597077
54,Sequential,1,3.962278
54,OpenMP,2,3.263925
54,OpenMP,4,2.237903
54,OpenMP,6,1.717703
54,OpenMP,8,1.562936
54,OpenMP,12,1.822411
54,Pthreads,2,6.062791
54,Pthreads,4,5.952379
54,Pthreads,6,6.693778
54,Pthreads,8,5.218211
54,Pthreads,12,6.253842
54,MPI,2,2.590120
54,MPI,4,1.565961
54,MPI,6,1.105525
54,MPI,8,0.820946
54,MPI,12,0.592055
55,Sequential,1,3.976274
55,OpenMP,2,3.306922
55,OpenMP,4,2.188244
55,OpenMP,6,1.699370
55,OpenMP,8,1.678404
55,OpenMP,12,1.787007
55,Pthreads,2,5.398905
55,Pthreads,4,6.089414
55,Pthreads,6,5.847954
55,Pthreads,8,5.405056
55,Pthreads,12,6.365510
55,MPI,2,2.611187
55,MPI,4,1.580368
55,MPI,6,1.097221
55,MPI,8,0.880149
55,MPI,12,0.586799
56,Sequential,1,3.939111
56,OpenMP,2,3.271647
56,OpenMP,4,2.320184
56,OpenMP,6,1.739922
56,OpenMP,8,1.630605
56,OpenMP,12,1.772372
56,Pthreads,2,4.830931
56,Pthreads,4,6.361817
56,Pthreads,6,5.871311
56,Pthreads,8,5.840579
56,Pthreads,12,5.180582
56,MPI,2,2.597286
56,MPI,4,1.571111
56,MPI,6,1.102842
56,MPI,8,0.835088
56,MPI,12,0.568848
57,Sequential,1,3.959765
57,OpenMP,2,3.381623
57,OpenMP,4,2.238369
57,OpenMP,6,1.654522
57,OpenMP,8,1.782124
57,OpenMP,12,1.863600
57,Pthreads,2,5.533483
57,Pthreads,4,5.441415
57,Pthreads,6,5.630371
57,Pthreads,8,5.410672
57,Pthreads,12,5.333146
57,MPI,2,2.651042
57,MPI,4,1.569657
57,MPI,6,1.104490
57,MPI,8,0.845707
57,MPI,12,0.585571
58,Sequential,1,3.955286
58,OpenMP,2,3.281368
58,OpenMP,4,2.192939
58,OpenMP,6,1.841930
58,OpenMP,8,1.684034
58,OpenMP,12,1.909559
58,Pthreads,2,6.109968
58,Pthreads,4,6.167788
58,Pthreads,6,6.278391
58,Pthreads,8,6.332484
58,Pthreads,12,5.536639
58,MPI,2,2.591382
58,MPI,4,1.587871
58,MPI,6,1.096157
58,MPI,8,0.846837
58,MPI,12,0.595944
59,Sequential,1,3.950798
59,OpenMP,2,3.323664
59,OpenMP,4,2.157728
59,OpenMP,6,1.778479
59,OpenMP,8,1.691521
59,OpenMP,12,1.897897
59,Pthreads,2,5.944890
59,Pthreads,4,5.647104
59,Pthreads,6,5.729528
59,Pthreads,8,6.339309
59,Pthreads,12,5.730334
59,MPI,2,2.627682
59,MPI,4,1.592010
59,MPI,6,1.101485
59,MPI,8,0.842852
59,MPI,12,0.578122
60,Sequential,1,3.898250
60,OpenMP,2,3.329406
60,OpenMP,4,2.147346
60,OpenMP,6,1.624013
60,OpenMP,8,1.595873
60,OpenMP,12,1.616038
60,Pthreads,2,5.457418
60,Pthreads,4,5.112188
60,Pthreads,6,6.524201
60,Pthreads,8,6.063025
60,Pthreads,12,5.474691
60,MPI,2,2.586060
60,MPI,4,1.581777
60,MPI,6,1.102138
60,MPI,8,0.861570
60,MPI,12,0.562179
61,Sequential,1,3.903710
61,OpenMP,2,3.333264
61,OpenMP,4,2.137818
61,OpenMP,6,1.755450
61,OpenMP,8,1.839552
61,OpenMP,12,1.705956
61,Pthreads,2,6.355161
61,Pthreads,4,5.098248
61,Pthreads,6,4.647045
61,Pthreads,8,4.866368
61,Pthreads,12,5.718022
61,MPI,2,2.606490
61,MPI,4,1.579267
61,MPI,6,1.084392
61,MPI,8,0.862874
