STT,Program,Threads,Time (seconds)
15,Pthreads,12,0.047831
16,Pthreads,2,0.030732
16,Pthreads,4,0.079163
16,Pthreads,6,0.078920
16,Pthreads,8,0.029045
16,Pthreads,12,0.027105
17,Pthreads,2,0.018479
17,Pthreads,4,0.076919
17,Pthreads,6,0.054167
17,Pthreads,8,0.090560
17,Pthreads,12,0.046408
18,Pthreads,2,0.068670
18,Pthreads,4,0.085567
18,Pthreads,6,0.076383
18,Pthreads,8,0.093318
18,Pthreads,12,0.100455
19,Pthreads,2,0.054966
19,Pthreads,4,0.084353
19,Pthreads,6,0.102617
19,Pthreads,8,0.108933
19,Pthreads,12,0.093822
20,Pthreads,2,0.049053
20,Pthreads,4,0.091421
20,Pthreads,6,0.028301
20,Pthreads,8,0.042553
20,Pthreads,12,0.061943
21,Pthreads,2,0.018961
21,Pthreads,4,0.015176
21,Pthreads,6,0.063422
21,Pthreads,8,0.074177
21,Pthreads,12,0.045359
22,Pthreads,2,0.084763
22,Pthreads,4,0.083727
22,Pthreads,6,0.066611
22,Pthreads,8,0.103227
22,Pthreads,12,0.092569
23,Pthreads,2,0.087496
23,Pthreads,4,0.055901
23,Pthreads,6,0.064342
23,Pthreads,8,0.105438
23,Pthreads,12,0.048352
24,Pthreads,2,0.054826
24,Pthreads,4,0.041617
24,Pthreads,6,0.065720
24,Pthreads,8,0.101438
24,Pthreads,12,0.030013
25,Pthreads,2,0.025993
25,Pthreads,4,0.074421
25,Pthreads,6,0.033792
25,Pthreads,8,0.043741
25,Pthreads,12,0.074161
26,Pthreads,2,0.097820
26,Pthreads,4,0.107844
26,Pthreads,6,0.068757
26,Pthreads,8,0.048186
26,Pthreads,12,0.036680
27,Pthreads,2,0.077556
27,Pthreads,4,0.087660
27,Pthreads,6,0.089168
27,Pthreads,8,0.100923
27,Pthreads,12,0.061492
28,Pthreads,2,0.083848
28,Pthreads,4,0.102039
28,Pthreads,6,0.043976
28,Pthreads,8,0.035154
28,Pthreads,12,0.098907
29,Pthreads,2,0.033201
29,Pthreads,4,0.023611
29,Pthreads,6,0.067896
29,Pthreads,8,0.055278
29,Pthreads,12,0.051898
30,Pthreads,2,0.057907
30,Pthreads,4,0.077383
30,Pthreads,6,0.068625
30,Pthreads,8,0.065604
30,Pthreads,12,0.013155
31,Pthreads,2,0.107349
31,Pthreads,4,0.072152
31,Pthreads,6,0.103844
31,Pthreads,8,0.092845
31,Pthreads,12,0.096988
32,Pthreads,2,0.046365
32,Pthreads,4,0.097096
32,Pthreads,6,0.036055
32,Pthreads,8,0.069623
32,Pthreads,12,0.052695
33,Pthreads,2,0.052896
33,Pthreads,4,0.098841
33,Pthreads,6,0.087680
33,Pthreads,8,0.077053
33,Pthreads,12,0.017381
34,Pthreads,2,0.101284
34,Pthreads,4,0.059003
34,Pthreads,6,0.099393
34,Pthreads,8,0.104019
34,Pthreads,12,0.051107
35,Pthreads,2,0.063663
35,Pthreads,4,0.045061
35,Pthreads,6,0.039494
35,Pthreads,8,0.019487
35,Pthreads,12,0.021959
36,Pthreads,2,0.090616
36,Pthreads,4,0.062960
36,Pthreads,6,0.093682
36,Pthreads,8,0.083827
36,Pthreads,12,0.044417
37,Pthreads,2,0.016282
37,Pthreads,4,0.081985
37,Pthreads,6,0.063484
37,Pthreads,8,0.101604
37,Pthreads,12,0.089733
38,Pthreads,2,0.088968
38,Pthreads,4,0.074187
38,Pthreads,6,0.040980
38,Pthreads,8,0.031627
38,Pthreads,12,0.065202
39,Pthreads,2,0.033460
39,Pthreads,4,0.075180
39,Pthreads,6,0.068886
39,Pthreads,8,0.045957
39,Pthreads,12,0.070478
40,Pthreads,2,0.037540
40,Pthreads,4,0.061083
40,Pthreads,6,0.092041
40,Pthreads,8,0.102631
40,Pthreads,12,0.090717
41,Pthreads,2,0.049238
41,Pthreads,4,0.102729
41,Pthreads,6,0.077423
41,Pthreads,8,0.062871
41,Pthreads,12,0.018878
42,Pthreads,2,0.079283
42,Pthreads,4,0.089669
42,Pthreads,6,0.056756
42,Pthreads,8,0.050626
42,Pthreads,12,0.101271
43,Pthreads,2,0.100967
43,Pthreads,4,0.103271
43,Pthreads,6,0.102145
43,Pthreads,8,0.098323
43,Pthreads,12,0.079274
44,Pthreads,2,0.060930
44,Pthreads,4,0.088014
44,Pthreads,6,0.049784
44,Pthreads,8,0.074115
44,Pthreads,12,0.041865
45,Pthreads,2,0.019566
45,Pthreads,4,0.100118
45,Pthreads,6,0.100839
45,Pthreads,8,0.053583
45,Pthreads,12,0.040379
46,Pthreads,2,0.032974
46,Pthreads,4,0.040827
46,Pthreads,6,0.099028
46,Pthreads,8,0.085282
46,Pthreads,12,0.043507
47,Pthreads,2,0.099190
47,Pthreads,4,0.062554
47,Pthreads,6,0.046133
47,Pthreads,8,0.076710
47,Pthreads,12,0.098806
48,Pthreads,2,0.060663
48,Pthreads,4,0.064379
48,Pthreads,6,0.021361
48,Pthreads,8,0.062903
48,Pthreads,12,0.102375
49,Pthreads,2,0.020819
49,Pthreads,4,0.080505
49,Pthreads,6,0.098235
49,Pthreads,8,0.060794
49,Pthreads,12,0.102127
50,Pthreads,2,0.047629
50,Pthreads,4,0.069729
50,Pthreads,6,0.042737
50,Pthreads,8,0.033968
50,Pthreads,12,0.028685
51,Pthreads,2,0.076770
51,Pthreads,4,0.014738
51,Pthreads,6,0.028373
51,Pthreads,8,0.022079
51,Pthreads,12,0.027841
52,Pthreads,2,0.082003
52,Pthreads,4,0.045710
52,Pthreads,6,0.063596
52,Pthreads,8,0.037339
52,Pthreads,12,0.098859
53,Pthreads,2,0.062761
53,Pthreads,4,0.078361
53,Pthreads,6,0.102006
53,Pthreads,8,0.097940
53,Pthreads,12,0.060781
54,Pthreads,2,0.077353
54,Pthreads,4,0.090387
54,Pthreads,6,0.101781
54,Pthreads,8,0.102755
54,Pthreads,12,0.076144
55,Pthreads,2,0.013659
55,Pthreads,4,0.061723
55,Pthreads,6,0.012944
55,Pthreads,8,0.061054
55,Pthreads,12,0.021456
56,Pthreads,2,0.072230
56,Pthreads,4,0.046351
56,Pthreads,6,0.045854
56,Pthreads,8,0.074535
56,Pthreads,12,0.100438
57,Pthreads,2,0.026300
57,Pthreads,4,0.067381
57,Pthreads,6,0.015155
57,Pthreads,8,0.094018
57,Pthreads,12,0.101438
58,Pthreads,2,0.023769
58,Pthreads,4,0.095553
58,Pthreads,6,0.047419
58,Pthreads,8,0.045795
58,Pthreads,12,0.015183
59,Pthreads,2,0.095063
59,Pthreads,4,0.053944
59,Pthreads,6,0.038870
59,Pthreads,8,0.048589
59,Pthreads,12,0.044748
60,Pthreads,2,0.071048
60,Pthreads,4,0.038923
60,Pthreads,6,0.012215
60,Pthreads,8,0.099621
60,Pthreads,12,0.060917
61,Pthreads,2,0.098969
61,Pthreads,4,0.044380
61,Pthreads,6,0.018315
61,Pthreads,8,0.035152
61,Pthreads,12,0.092204
62,Pthreads,2,0.079498
62,Pthreads,4,0.046089
62,Pthreads,6,0.104727
62,Pthreads,8,0.018856
62,Pthreads,12,0.052239
63,Pthreads,2,0.057368
63,Pthreads,4,0.032217
63,Pthreads,6,0.068344
63,Pthreads,8,0.101189
63,Pthreads,12,0.082502
64,Pthreads,2,0.064651
64,Pthreads,4,0.043338
64,Pthreads,6,0.103772
64,Pthreads,8,0.057510
64,Pthreads,12,0.097384
65,Pthreads,2,0.052183
65,Pthreads,4,0.030034
65,Pthreads,6,0.037257
65,Pthreads,8,0.035186
65,Pthreads,12,0.074234
66,Pthreads,2,0.101925
66,Pthreads,4,0.077333
66,Pthreads,6,0.087192
66,Pthreads,8,0.100228
66,Pthreads,12,0.069343
67,Pthreads,2,0.042942
67,Pthreads,4,0.100247
67,Pthreads,6,0.042843
67,Pthreads,8,0.059700
67,Pthreads,12,0.041127
68,Pthreads,2,0.056930
68,Pthreads,4,0.022141
68,Pthreads,6,0.096476
68,Pthreads,8,0.055537
68,Pthreads,12,0.060297
69,Pthreads,2,0.098520
69,Pthreads,4,0.040767
69,Pthreads,6,0.044823
69,Pthreads,8,0.066994
69,Pthreads,12,0.066038
70,Pthreads,2,0.104079
70,Pthreads,4,0.100367
70,Pthreads,6,0.101685
70,Pthreads,8,0.064826
70,Pthreads,12,0.102832
71,Pthreads,2,0.019635
71,Pthreads,4,0.071939
71,Pthreads,6,0.072741
71,Pthreads,8,0.053299
71,Pthreads,12,0.105740
72,Pthreads,2,0.074188
72,Pthreads,4,0.109844
72,Pthreads,6,0.061538
72,Pthreads,8,0.106808
72,Pthreads,12,0.066945
73,Pthreads,2,0.028880
73,Pthreads,4,0.050243
73,Pthreads,6,0.108410
73,Pthreads,8,0.026063
73,Pthreads,12,0.071146
74,Pthreads,2,0.103413
74,Pthreads,4,0.035085
74,Pthreads,6,0.043956
74,Pthreads,8,0.030334
74,Pthreads,12,0.105621
75,Pthreads,2,0.042163
75,Pthreads,4,0.054692
75,Pthreads,6,0.100005
75,Pthreads,8,0.075822
75,Pthreads,12,0.088987
76,Pthreads,2,0.064172
76,Pthreads,4,0.075964
76,Pthreads,6,0.084898
76,Pthreads,8,0.048367
76,Pthreads,12,0.062549
77,Pthreads,2,0.047499
77,Pthreads,4,0.084718
77,Pthreads,6,0.037345
77,Pthreads,8,0.049022
77,Pthreads,12,0.078614
78,Pthreads,2,0.072964
78,Pthreads,4,0.058688
78,Pthreads,6,0.048753
78,Pthreads,8,0.057691
78,Pthreads,12,0.052800
79,Pthreads,2,0.101549
79,Pthreads,4,0.070543
79,Pthreads,6,0.040234
79,Pthreads,8,0.078784
79,Pthreads,12,0.095230
80,Pthreads,2,0.065014
80,Pthreads,4,0.046993
80,Pthreads,6,0.038419
80,Pthreads,8,0.099144
80,Pthreads,12,0.047673
81,Pthreads,2,0.065477
81,Pthreads,4,0.032641
81,Pthreads,6,0.060114
81,Pthreads,8,0.079118
81,Pthreads,12,0.077641
82,Pthreads,2,0.023277
82,Pthreads,4,0.071862
82,Pthreads,6,0.079560
82,Pthreads,8,0.059737
82,Pthreads,12,0.054245
83,Pthreads,2,0.056680
83,Pthreads,4,0.091222
83,Pthreads,6,0.032756
83,Pthreads,8,0.103583
83,Pthreads,12,0.012158
84,Pthreads,2,0.086368
84,Pthreads,4,0.084501
84,Pthreads,6,0.063006
84,Pthreads,8,0.074575
84,Pthreads,12,0.104520
85,Pthreads,2,0.057334
85,Pthreads,4,0.076275
85,Pthreads,6,0.092068
85,Pthreads,8,0.028080
85,Pthreads,12,0.042719
86,Pthreads,2,0.073339
86,Pthreads,4,0.074256
86,Pthreads,6,0.102373
86,Pthreads,8,0.039439
86,Pthreads,12,0.102064
87,Pthreads,2,0.051274
87,Pthreads,4,0.057268
87,Pthreads,6,0.092119
87,Pthreads,8,0.019910
87,Pthreads,12,0.097041
88,Pthreads,2,0.071162
88,Pthreads,4,0.063601
88,Pthreads,6,0.085026
88,Pthreads,8,0.084052
88,Pthreads,12,0.018895
89,Pthreads,2,0.040329
89,Pthreads,4,0.081740
89,Pthreads,6,0.030461
89,Pthreads,8,0.018399
89,Pthreads,12,0.064757
90,Pthreads,2,0.024289
90,Pthreads,4,0.079337
90,Pthreads,6,0.080252
90,Pthreads,8,0.022144
90,Pthreads,12,0.035103
91,Pthreads,2,0.023321
91,Pthreads,4,0.097726
91,Pthreads,6,0.024756
91,Pthreads,8,0.077907
91,Pthreads,12,0.087878
92,Pthreads,2,0.092715
92,Pthreads,4,0.070564
92,Pthreads,6,0.027325
92,Pthreads,8,0.079302
92,Pthreads,12,0.065063
93,Pthreads,2,0.035764
93,Pthreads,4,0.050146
93,Pthreads,6,0.071459
93,Pthreads,8,0.098691
93,Pthreads,12,0.095329
94,Pthreads,2,0.020350
94,Pthreads,4,0.031729
94,Pthreads,6,0.079938
94,Pthreads,8,0.045709
94,Pthreads,12,0.097342
95,Pthreads,2,0.033456
95,Pthreads,4,0.033559
95,Pthreads,6,0.041887
95,Pthreads,8,0.036669
95,Pthreads,12,0.095174
96,Pthreads,2,0.061436
96,Pthreads,4,0.023718
96,Pthreads,6,0.017583
96,Pthreads,8,0.100948
96,Pthreads,12,0.053977
97,Pthreads,2,0.070976
97,Pthreads,4,0.023549
97,Pthreads,6,0.097761
97,Pthreads,8,0.102056
97,Pthreads,12,0.101750
98,Pthreads,2,0.054689
98,Pthreads,4,0.072235
98,Pthreads,6,0.038529
98,Pthreads,8,0.099187
98,Pthreads,12,0.067007
99,Pthreads,2,0.083238
99,Pthreads,4,0.039827
99,Pthreads,6,0.021346
99,Pthreads,8,0.047418
99,Pthreads,12,0.075875
100,Pthreads,2,0.098859
100,Pthreads,4,0.102256
100,Pthreads,6,0.097854
100,Pthreads,8,0.100299
100,Pthreads,12,0.017195
